"caption","ownerFullName","ownerUsername","url","commentsCount","firstComment","likesCount","timestamp","queryTag","hashtags/0","hashtags/1","hashtags/2","hashtags/3","hashtags/4","hashtags/5","hashtags/6","hashtags/7","hashtags/8","hashtags/9","hashtags/10","hashtags/11","hashtags/12","hashtags/13","hashtags/14","hashtags/15","hashtags/16","hashtags/17","hashtags/18","hashtags/19","hashtags/20","hashtags/21","hashtags/22","hashtags/23","hashtags/24","hashtags/25","hashtags/26","hashtags/27","hashtags/28","hashtags/29"
"CAPUCINES MINI @louisvuitton 

#louisvuittoniguatemi #louisvuitton #capucinesbag #capucine #capucinesbb  #capucineslouisvuitton 
M25232","WILLIAN BOTELHO","louisvuittonwillian_","https://www.instagram.com/p/C5ZZFVGOvFw/","0","","16","2024-04-05T22:35:55.000Z",,"louisvuittoniguatemi","louisvuitton","capucinesbag","capucine","capucinesbb","capucineslouisvuitton",,,,,,,,,,,,,,,,,,,,,,,,
"#reels #reelsinstagram #louisvuitton #louisvuittonindonesia #louisvuittonbag #louisvuittonjakarta #lvjkt #lv #capucines #capucineslouisvuitton #lvindonesia #capucineslv #lvbag #louisvuittonlover #taslv #tascapucines #taslouisvitton #lvsunglasses #lvcapucineswallet #pecintalouisvuitton","Steve Rector","steverector16","https://www.instagram.com/p/DDz4N-TRsnL/","0","","0","2024-12-20T18:42:03.000Z",,"reels","reelsinstagram","louisvuitton","louisvuittonindonesia","louisvuittonbag","louisvuittonjakarta","lvjkt","lv","capucines","capucineslouisvuitton","lvindonesia","capucineslv","lvbag","louisvuittonlover","taslv","tascapucines","taslouisvitton","lvsunglasses","lvcapucineswallet","pecintalouisvuitton",,,,,,,,,,
"see you soon, @holyhaein 🤭

#HallyuSG","HALLYUSG.NET","hallyusg","https://www.instagram.com/p/DB-qJipPvDq/","37","","3035","2024-11-05T06:07:32.000Z",,"HallyuSG",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"🔊ASMR unboxing ✨ 

Осталась еще одна коробочка🤭

#dior #diorbag #unboxing #asmr #unpacking","Dilnoza","dilnoza.alisherova","https://www.instagram.com/p/DABMNnRsPWN/","11","","2058","2024-09-17T11:35:00.000Z",,"dior","diorbag","unboxing","asmr","unpacking",,,,,,,,,,,,,,,,,,,,,,,,,
"Wow In just 48 hours😮 my bag has been restored & repaired! Don’t give away your old designer bags take them to Gorge! 👜

📍NYC LEATHER REPAIR 
205 West 57th Street 
(212-265-2108)

I was so close to throwing my favorite bag away & we all know designer bags are expensive, but I was able to extend the life of my bag so I can wear many more times just in time for the summer & save some coin 💅🏾♻️

Make sure you bring all of your designer bags & leather goods to Gorge. He will restore & repair them for you! Tell him I sent you so you can receive a discount! ❤️

•
•
#nyccobbler #shoerepair #bagrepair #bagrepairshop #sustainablefashion #sustainability #luxurybag #designerbag #bagrestoration #designerbagrestoration #leatherbag #diorbag #nycleatherrepair #dior #nyc  #shoecobbler #nycfashion #vintagestyle #vintagebag #vintagebags #vintageshop #cobbler #bagcobbler #leatherwallet","Leshawn Bridgewater","leshawnbridgewater","https://www.instagram.com/p/DKATPKox4_0/","163","","3437","2025-05-23T17:49:12.000Z",,"nyccobbler","shoerepair","bagrepair","bagrepairshop","sustainablefashion","sustainability","luxurybag","designerbag","bagrestoration","designerbagrestoration","leatherbag","diorbag","nycleatherrepair","dior","nyc","shoecobbler","nycfashion","vintagestyle","vintagebag","vintagebags","vintageshop","cobbler","bagcobbler","leatherwallet",,,,,,
"Contact is happening now. We have been telling our story for nearly 2 decades to prepare the world for what is coming. We have plainly told the department of defense that they are powerless to stop these beings from coming in to our world and awakening the people #orb #diorbag","Ryan Bledsoe","rybledsoe","https://www.instagram.com/p/DEnCuk4uEDe/","88","","1417","2025-01-09T15:35:18.000Z",,"orb","diorbag",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"My favorites vs my most used items 
•
•
•
•
•
femmeblk#diorbag#stylingtips#howtodress#whattowear#styleinspo#blackinfluencer#blackblogger#chiclook#frenchchic#frenchstyle#parisianstyle#parisstyle#workwear#scandistyle#officewear#whattoweartowork#minimalchic#minimalstyle#dailylook#minimalfashion#poleneparis#neutralstyle#fashionreel#outfitreel#denimoutfit#toteme","Lydia Tsegay","femmeblk","https://www.instagram.com/p/DGQ_BCLKgbZ/","24","","-1","2025-02-19T19:03:47.000Z",,"diorbag","stylingtips","howtodress","whattowear","styleinspo","blackinfluencer","blackblogger","chiclook","frenchchic","frenchstyle","parisianstyle","parisstyle","workwear","scandistyle","officewear","whattoweartowork","minimalchic","minimalstyle","dailylook","minimalfashion","poleneparis","neutralstyle","fashionreel","outfitreel","denimoutfit","toteme",,,,
"Greens and brown 🙇🏾‍♀️
•
•
•
•
femmeblk#diorbag#stylingtips#howtodress#whattowear#styleinspo#blackinfluencer#blackblogger#chiclook#frenchchic#frenchstyle#parisianstyle#parisstyle#workwear#scandistyle#officewear#whattoweartowork#minimalchic#minimalstyle#dailylook#minimalfashion#poleneparis#neutralstyle#fashionreel#outfitreel","Lydia Tsegay","femmeblk","https://www.instagram.com/p/DGTgyYYqoeJ/","36","","-1","2025-02-20T18:35:57.000Z",,"diorbag","stylingtips","howtodress","whattowear","styleinspo","blackinfluencer","blackblogger","chiclook","frenchchic","frenchstyle","parisianstyle","parisstyle","workwear","scandistyle","officewear","whattoweartowork","minimalchic","minimalstyle","dailylook","minimalfashion","poleneparis","neutralstyle","fashionreel","outfitreel",,,,,,
"Celebrating the season of love with MISS DIOR 🎀🎀

Sparkling and juicy notes of mandarin, vibrant, sweet and juicy notes of crispy and succulent wild strawberries, sensually and solidly constructed woody-ambery 🎀

@diorbeauty @diorbeautylovers #MISSDIOR #MissDiorParfum #DiorBeautyIndia @tarzbeauty #DiorParfums","Nikkii Madhani","nikitadmadhani","https://www.instagram.com/p/DF7qF0sySlP/","19","","9005","2025-02-11T12:20:12.000Z",,"MISSDIOR","MissDiorParfum","DiorBeautyIndia","DiorParfums",,,,,,,,,,,,,,,,,,,,,,,,,,
"Many girls don’t even know this model exists — and it’s available online.

Save this for later and send it to the friend who says Dior is “too expensive.”

And if you love finding smart luxury pieces for less — you already know where to look. 😉

#diorbag #luxuryforless #designerfinds","Sia 🌸","sia.letsgo","https://www.instagram.com/p/DUydAt-jW7K/","33","","2360","2026-02-15T18:18:20.000Z",,"diorbag","luxuryforless","designerfinds",,,,,,,,,,,,,,,,,,,,,,,,,,,
"When I tried this bag from the SS26 Dior collection, it really feels cool. Look at the handle and see how the Dior logo is placed playfully inside the bag. It might not be an everyday bag, but definitely an It bag that can compliment your outfits beautifully. (Personally, I'd like it to have a zipper, but perhaps Jonathan Anderson had another intention when he designed this bag).

#dior #diorbag","Venus Tran (Thien Huong)","venus__tran","https://www.instagram.com/p/DPYIynMiFY2/","3","","7371","2025-10-04T06:25:49.000Z",,"dior","diorbag",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"my first Dior bag, the Columbus #diorbag #dior @dior","Venetia Kamara","venetiakamara","https://www.instagram.com/p/DVbgj5FjB0m/","31","","-1","2026-03-03T16:59:53.000Z",,"diorbag","dior",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The clock app literally deleted my caption when I posted this clip the other day. That’s never happened before. 🤯 Whatchall think is going on with the surveillance #diorbag things all over the east coast? And before you ask me what a Dior Bag is, just look it up. You’ll figure it out. Have you seen any luxury bags in the sky with your own eyes yet? Why do you think content talking about it is being removed and demoted? Is this a #conspiracytheory or is something else coming? 🛸#ufo #uap #drone #bingo","Wisdom Sewell ✨ Manifested This Life","wisdomtucker","https://www.instagram.com/p/DEN9133v-iV/","157","","534","2024-12-30T21:59:10.000Z",,"diorbag","conspiracytheory","ufo","uap","drone","bingo",,,,,,,,,,,,,,,,,,,,,,,,
"Follow for more
•
•
#ysl #yslbeauty #yslbags #yvessaintlaurent #saintlaurent #yslheels #yslproducts #yslmakeup #yslperfumes #ysl💄 #dior #diormakeup #diorbag #Louboutin #loubotinheels #loubouqueen #louboutinworld #mlbbangela #mlbbedits #dior #diorbags #yslbag #yslbags #louboutinmakeup #mlbb #mlbbindonesia #mlbbshare #bgmireels #netflix","LUNA👻","lunaaa.777_","https://www.instagram.com/p/DEMBqLZhAX0/","16","","3907","2024-12-30T03:46:02.000Z",,"ysl","yslbeauty","yslbags","yvessaintlaurent","saintlaurent","yslheels","yslproducts","yslmakeup","yslperfumes","ysl💄","dior","diormakeup","diorbag","Louboutin","loubotinheels","loubouqueen","louboutinworld","mlbbangela","mlbbedits","diorbags","yslbag","louboutinmakeup","mlbb","mlbbindonesia","mlbbshare","bgmireels","netflix",,,
"Stepping out🤍 @fashionnova 

🔍Verdant Highrise Stretch Flare Jeans
🔍Cater to you Top

#explorepage #jeans #whitetop #croppedshirt #outfitideas #lagosnyc #nightout #japanesegirl #diorbag #miniladydior #nyc","Sakura Nakamura","sakuraan","https://www.instagram.com/p/C4F9i1CuhgK/","66","","-1","2024-03-04T13:07:26.000Z",,"explorepage","jeans","whitetop","croppedshirt","outfitideas","lagosnyc","nightout","japanesegirl","diorbag","miniladydior","nyc",,,,,,,,,,,,,,,,,,,
"New Dior Bow Bag 2026 collection 🎀
Spotted in store — yes, it’s already selling.

Price: €3,700 (small size).
Available in soft pink, ivory and black.
The bow shape + soft leather is the whole point — very feminine, very Dior, very “either you love it or hate it”.

I’m curious — cute or too much? 🤍

#DiorBag #LuxuryFashion #DesignerBags","Sia 🌸","sia.letsgo","https://www.instagram.com/p/DTId8QZDFIs/","37","","1636","2026-01-05T14:27:29.000Z",,"DiorBag","LuxuryFashion","DesignerBags",,,,,,,,,,,,,,,,,,,,,,,,,,,
"✨ وأخيراً عرض @dior اللي كل عشاق الفاشن كانوا ينتظرونه! @jonathan.anderson أبدع وقدم لنا شنط متنوعة: من الستايل السلاوتشي الراقي بقماش السويد، لإعادة ابتكار ليدي ديور Lady Dior بحجم جديد، مع لمسات شبابية وألوان عصرية تخلي ديور أقرب لكل الأعمار 🤩🫶🏻!!

قولوا لي بالكومنتس أي شنطة خطفت قلوبكم؟ وهل حبيتوا إبداعات جوناثان مع ديور؟

#ديور #Dior #شنط #شنط_ديور #موضة #ستايل #أزياء #DiorBag #DiorLovers #JonathanAnderson #LadyDior #DiorCollection #شنط_ماركات #عروض_أزياء #أزياء2025 #حقائب #LuxuryBags #ParisFashionWeek","Sara Albuainain ساره البوعينين","sara.buainain","https://www.instagram.com/p/DPR-19CDHsF/","66","","1800","2025-10-01T21:03:43.000Z",,"ديور","Dior","شنط","شنط_ديور","موضة","ستايل","أزياء","DiorBag","DiorLovers","JonathanAnderson","LadyDior","DiorCollection","شنط_ماركات","عروض_أزياء","أزياء2025","حقائب","LuxuryBags","ParisFashionWeek",,,,,,,,,,,,
"Werbung 💚 Green 💚

Eine meiner Lieblingsfarben 💚 Den grünen Blazer trage ich zur Jeans und Leo Details 💚

Euch einen schönen Dienstag 💚

#blazerstyle #outfitideen #jeanslover #diorbag","Tanja Jager","jagta8","https://www.instagram.com/p/DAkhOdaIDqf/","303","","47421","2024-10-01T05:57:57.000Z",,"blazerstyle","outfitideen","jeanslover","diorbag",,,,,,,,,,,,,,,,,,,,,,,,,,
"follow @itscelesta for more❣️ idk the bow bag is giving free with purchase??? 🫢
.
.
.
#dior #jonathananderson #diorbag #designerhandbags #fashiontrends","celesta👜🩵","itscelesta","https://www.instagram.com/p/DTDvV-eEsYf/","82","","2226","2026-01-03T18:23:43.000Z",,"dior","jonathananderson","diorbag","designerhandbags","fashiontrends",,,,,,,,,,,,,,,,,,,,,,,,,
"Dior Pre-Fall 2026: a case study in let Jonathan Anderson COOK #dior #fashion #diorbag #jonathananderson #dioraddict @dior @jonathan.anderson","Yagmur Tok","selloutartist_","https://www.instagram.com/p/DSdRkYsj6vN/","45","","6894","2025-12-19T19:53:14.000Z",,"dior","fashion","diorbag","jonathananderson","dioraddict",,,,,,,,,,,,,,,,,,,,,,,,,
"Wie schön ist diese Dior Tasche bitte ? Verlose die Tage eine hier bei Insta für euch ❤️
Für ungeduldige: Kommentiert einfach Link und ich schicke ihn euch 💕
#dior #diorsolar #diorbag #diortasche","Chantal Lesley Lourene Gollatz","lourenegoll","https://www.instagram.com/p/DJG0PsvNOwh/","372","","2007","2025-05-01T09:50:30.000Z",,"dior","diorsolar","diorbag","diortasche",,,,,,,,,,,,,,,,,,,,,,,,,,
"Wie findest du die 10.000 € Dior Shopping-Ausbeute? 💙

#streetstyle #dior #unboxing #luxuryhaul #stuttgart #streetunboxing #unboxingreels #unboxingreel #luxuryhaul #diorhaul #diorunboxing #ladydiormini #miniladydior #ladydiorbag #ladydior #jadior #luxus #rich #richpeople #diorjourney #diorscarf #diorlove #diorlover #diorlovers #dioraddict #diorcouture #diorbags #diorbag #designer #designerbag #designerbags","LUXURYlike","luxurylike_","https://www.instagram.com/p/DJOTLCasXfI/","57","","977","2025-05-04T07:37:55.000Z",,"streetstyle","dior","unboxing","luxuryhaul","stuttgart","streetunboxing","unboxingreels","unboxingreel","diorhaul","diorunboxing","ladydiormini","miniladydior","ladydiorbag","ladydior","jadior","luxus","rich","richpeople","diorjourney","diorscarf","diorlove","diorlover","diorlovers","dioraddict","diorcouture","diorbags","diorbag","designer","designerbag","designerbags"
"δωρεάν dior τσάντα με το πιο cute σετ?! ✨ #dior #diorbeauty #diorbag @diorbeauty","Venetia Kamara","venetiakamara","https://www.instagram.com/p/DQ4mfwhDOiD/","41","","-1","2025-11-10T17:33:05.000Z",,"dior","diorbeauty","diorbag",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Comments what you think is the cutest! ⋅˚₊‧ ୨୧ ‧₊˚ ⋅ I love the light baby pink @dior has and i love clovers as well so im so indecisive right now ahh 🍀 

#dior #luxury #aesthetic #coquette #pinterest","Ariel E. 🌺🧿","ariyakult","https://www.instagram.com/p/DTZfKgOEQph/","208","","11534","2026-01-12T05:04:59.000Z",,"dior","luxury","aesthetic","coquette","pinterest",,,,,,,,,,,,,,,,,,,,,,,,,
"So yeah… my new personality trait is now the Dior Bow Bag🥹🎀 

#dior #diorbag #diorbags #luxurybags #fashionreview","Marissa Spagnoli","marissaspagnoli","https://www.instagram.com/p/DTLVl1Zj9mE/","50","","4304","2026-01-06T17:12:37.000Z",,"dior","diorbag","diorbags","luxurybags","fashionreview",,,,,,,,,,,,,,,,,,,,,,,,,
"Dior: Spring Summer 2026 Bags #dior #fashion #diorbag #fashionnews #jonathananderson #fashionweek @dior","Yagmur Tok","selloutartist_","https://www.instagram.com/p/DPRqfvgjmkS/","50","","7540","2025-10-01T18:05:20.000Z",,"dior","fashion","diorbag","fashionnews","jonathananderson","fashionweek",,,,,,,,,,,,,,,,,,,,,,,,
"Wie gefallen dir die Outfits in Beige? 🧸🤍 #muttertochter #outfitinspo #luxurybags #stuttgart #motherdaughter #momanddaughter #diorbooktote #chanelwalletonchain #chanelbag #chanelbags #dior #diorbags #diorbag #maxmara #maxmaramantel #stuttgartcity #storytime #hermes #hermesbirkin #birkin #birkinbag #beige #beigeoutfits #cremeoutfits #outfitinspiration #outfitideas #coupleoutfit #outfits #outfitoftoday #outfitoftheday","LUXURYlike","luxurylike_","https://www.instagram.com/p/DRM0DtJDko1/","316","","6295","2025-11-18T13:59:31.000Z",,"muttertochter","outfitinspo","luxurybags","stuttgart","motherdaughter","momanddaughter","diorbooktote","chanelwalletonchain","chanelbag","chanelbags","dior","diorbags","diorbag","maxmara","maxmaramantel","stuttgartcity","storytime","hermes","hermesbirkin","birkin","birkinbag","beige","beigeoutfits","cremeoutfits","outfitinspiration","outfitideas","coupleoutfit","outfits","outfitoftoday","outfitoftheday"
"Stick to CC royal gal 👀
•
•
•
Królowa Camilla • Księżna Diana • Lady Dior • torebka • Dior bag • royals • brytyjska rodzina królewska • Wielka Brytania • moda • symbolika • Christian Dior
#ladydior #queencamilla #ladydiana #ksieznadiana #symbolika #diorbag #historiamody #moda #modoweinspiracje #wielkabrytania #rodzinakrólewska #royals","Michał Skurski","michal.skurski","https://www.instagram.com/p/C9UEyUeoV-b/","72","","3192","2024-07-12T07:12:06.000Z",,"ladydior","queencamilla","ladydiana","ksieznadiana","symbolika","diorbag","historiamody","moda","modoweinspiracje","wielkabrytania","rodzinakrólewska","royals",,,,,,,,,,,,,,,,,,
"Dior are you ok? 👀👀👀

#dior #dior2024 #diorbag #luxurybag #diorcouture #diorforever #diorama #dioraddict #fashionvideo #fashiondesigner #fashionblogger #amsterdamblogger #fashionshow #fashionweek #missdior #missdiorbag","Natya 🐺","natyawolff","https://www.instagram.com/p/C_N-jbWoYRv/","1696","","465156","2024-08-28T15:22:40.000Z",,"dior","dior2024","diorbag","luxurybag","diorcouture","diorforever","diorama","dioraddict","fashionvideo","fashiondesigner","fashionblogger","amsterdamblogger","fashionshow","fashionweek","missdior","missdiorbag",,,,,,,,,,,,,,
"You better run before he changes his mind…or sees the price 😬 Who can tell what I asked for? 👀
.
.
.
.
#fy #fyp #foryou #foryoupage #viral #trending #trendingreels #relatable #relatablememes #fun #funny #explore #explorepage #dior #diorbag #funnyvideos #funnymeme #viralvideos #viralreels #viralpost #hijabi #shopping #bosnian #english #girls #uae #dubai #qatar #doha","Merjem Babic","merjemba","https://www.instagram.com/p/DAWPwrRoBHd/","5069","","1915581","2024-09-25T16:56:11.000Z",,"fy","fyp","foryou","foryoupage","viral","trending","trendingreels","relatable","relatablememes","fun","funny","explore","explorepage","dior","diorbag","funnyvideos","funnymeme","viralvideos","viralreels","viralpost","hijabi","shopping","bosnian","english","girls","uae","dubai","qatar","doha",
"Help me decide what to wear to the new Dallas @dior cafe…. In the @shophpvillage parking lot. 

A girl’s gotta have options right?! 💭 👗 🐚 ™️🩷","💗 KAMERON WESTCOTT 💗","kameronwestcott","https://www.instagram.com/p/DGwUp-4yOA-/","340","","4453","2025-03-03T23:10:04.000Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Girly girl makeup bag essentials 🎀🌸💗
What’s your favorite product? 💗

#pfg #pink #pinkaesthetic #pinkflowers #pinkfeed #pinkgirl #pinkpinkpink #pinkmakeup #pinknails #pinkeverything #pinkdecor #softpastel #softpink #girly #girlythings #girlygirl #glamgirl #missdior #diorbag #diorbeauty #diorbeautylovers #pinkblush #ysl #yslbeautyclub #chanel #welovecoco","𝒦𝒶𝓇𝓁𝒶 ♡ Pink lifestyle","missemmakarla","https://www.instagram.com/p/C87MxjGAeYD/","49","","1789","2024-07-02T15:19:44.000Z",,"pfg","pink","pinkaesthetic","pinkflowers","pinkfeed","pinkgirl","pinkpinkpink","pinkmakeup","pinknails","pinkeverything","pinkdecor","softpastel","softpink","girly","girlythings","girlygirl","glamgirl","missdior","diorbag","diorbeauty","diorbeautylovers","pinkblush","ysl","yslbeautyclub","chanel","welovecoco",,,,
"Cant decide so he take it all #hermesbirkin","Roxanne Silverio Magallanes","roxanne_magallanes","https://www.instagram.com/p/DTwliVGjpgI/","39","","2068","2026-01-21T04:22:47.000Z",,"hermesbirkin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Unboxing the icon — but make it cargo 🖤
I said no… twice over the years. 
Then I couldn’t stop thinking about her🥺
And just like that, the Birkin Cargo 25 became part of my collection🖤

#hermesbirkin #birkin25 #birkin","rinyks","rinyks","https://www.instagram.com/p/DVYkFsaEypw/","128","","847","2026-03-02T13:32:10.000Z",,"hermesbirkin","birkin25","birkin",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bags I almost bought in Japan 🇯🇵

Vintage luxury shopping in Osaka is dangerous in the best way. The prices were tempting. The selection was unreal. And yes… some of these were real deals.

But I’m learning something important:

A good price is not the same thing as the right purchase.

Building a fine jewelry and luxury collection on purpose means walking away sometimes — even when you can afford it.

I’d rather regret not buying it than regret buying it for the wrong reason.

Which one would you have taken home?

And more importantly… are you a deal hunter or a disciplined collector?

Save this if you’re building your collection intentionally.
#japanvintage 
#japanshopping 
#vintagechanel 
#hermesbirkin 
#blackwomeninluxury","Maya the Fly Girl","mayatrends","https://www.instagram.com/p/DVZEHKcgTqe/","79","","1910","2026-03-02T18:13:59.000Z",,"japanvintage","japanshopping","vintagechanel","hermesbirkin","blackwomeninluxury",,,,,,,,,,,,,,,,,,,,,,,,,
"hermes halayı #kesfet #hermesbirkin #shitpost #kurekerepost #eleman","","kurekerepost","https://www.instagram.com/p/DT8x3jbjJeb/","0","","3959","2026-01-25T22:04:18.000Z",,"kesfet","hermesbirkin","shitpost","kurekerepost","eleman",,,,,,,,,,,,,,,,,,,,,,,,,
"I cannot believe that after 3 years I finally got my wish granted and honestly in the most surprising and exciting way! I was 100% not expecting it and I think it made it all the more special 🥹 Despite how others make it look on social media this is really not a “casual” purchase for me. It’s my first ever Hermès quota bag and a huge investment into my forever wardrobe and one I have been patiently waiting  and planning for, for years ✨🙏🏼 It will be such a cherished and special bag that I truly believe I can wear for the rest of my life and I’m sure you will all agree! I will film an unboxing in the next few days but in the meantime please let me know what you think, and if you have any questions at all 💭

#hermes #hermesunboxing #hermeskelly #hermesbirkin #hermesbag","The Luxury Mama","sophietheluxurymama","https://www.instagram.com/p/DVMRuxfDWcf/","160","","971","2026-02-25T19:00:21.000Z",,"hermes","hermesunboxing","hermeskelly","hermesbirkin","hermesbag",,,,,,,,,,,,,,,,,,,,,,,,,
"The finale of my Japan Hermès Birkin hunt 🇯🇵

I went into this day deciding between Craie vs Rose Pink…
and walked out with a hot pink Hermès Birkin instead 💖

This was a small shop in Japan, not the main store and yes, I finally bought the bag of my dreams! 
Proof that sometimes the luxury hunt doesn’t go as planned… and that’s the best part. Thank you so much for following along me journey 🫶🏾

Japan luxury resale hits different and lives up to the hype!

#HermesBirkin
#BirkinHunt
#JapanLuxuryShopping
#HermesResale
#DesignerBagShopping
Would you take a 14 hour flight to secure a Birkin?","Maya the Fly Girl","mayatrends","https://www.instagram.com/p/DTLJEcHDri-/","441","","12570","2026-01-06T15:24:41.000Z",,"HermesBirkin","BirkinHunt","JapanLuxuryShopping","HermesResale","DesignerBagShopping",,,,,,,,,,,,,,,,,,,,,,,,,
